,SAG Power,SAG Specific Energy,SAG Fresh Feed,SAG Feed F80,SAG Feed F80 Mixed,SAG Feed F80 diff,R/F ratio,SAG Feed Density,SAG Feed Water,SAG Total Feed Rate,SAG Main Bearing Pressure,SAG Microphone Sensor,SAG Charge Softsensor,SAG Screen Motor Currency,SAG Recycling load,Crusher Feed F80,Crusher Power,Crusher Feed Rate,Crusher Wasted,Crusher Product P80,Crusher Specific Energy
2426,13143.0,14.325112588322117,916.4797,60.12710859999999,51.87917727753974,8.247931322460254,0.2043954710617157,0.5804756833212134,796.7468,1103.8039999999999,6870.3,104.0922,37.11354,32.349909999999994,187.32429999999988,36.678709999999995,163.9368,167.9179,47.27787,19.7743,0.20210352797408737
2427,12873.0,13.753860493779937,934.9554,60.4813116,51.34784295873716,9.133468641262837,0.22481243490331188,0.5835271128420959,816.3088,1145.145,6763.9565,105.9086,43.75773,32.60155,210.18959999999993,37.03085,159.0021,164.3304,0.8113222,19.85425,0.17648651740639598
2428,12595.0,10.038904241048478,1253.619,59.524772999999996,51.920422141082724,7.604350858917272,0.18983837992244865,0.587211453820801,1047.5439999999999,1491.604,6646.271500000001,106.6328,67.84759,32.95115,237.98500000000013,37.750890000000005,170.5782,183.9202,0.8073548,19.4678,0.2206293816557399
2429,12753.0,10.13016785115413,1257.913,59.441715,51.414447976088184,8.027267023911818,0.19987868795377728,0.5814210955120562,1085.612,1509.3429999999998,6715.3925,106.2873,49.83525,32.71032,251.42999999999984,37.64425,168.141,180.1006,0.8093385000000001,19.28102,0.2117760851435253
2430,12932.0,11.68239284891573,1105.965,59.587866600000005,50.50828734316691,9.079579256833092,0.22744752320371803,0.5750630656581809,1002.1210000000001,1357.514,6786.0075,105.4618,37.3524,32.30109,251.54899999999998,37.12605,159.0771,154.059,0.8133059,19.66842,0.1887400281710254
2431,12962.0,12.73748901855888,1016.6260000000001,58.908314999999995,50.3073688923557,8.600946107644297,0.2199687987519499,0.5808684964084565,893.9163,1240.252,6762.21,105.5494,37.24804,32.28839,223.62599999999986,36.87627,154.7356,151.1737,0.8113222,19.807560000000002,0.16362369909580837
2432,12800.0,12.06815111210841,1059.643,59.772778599999995,51.223738442604926,8.54904015739507,0.21246872767526406,0.5842259130792158,913.3379,1284.7839999999999,6710.385,106.2061,51.25845,32.65814,225.14099999999985,36.82208,162.3255,167.6392,0.8093385000000001,19.53608,0.19282781115634057
2433,12632.0,11.144538452715995,1132.47,60.735819600000006,52.07550515153673,8.660314448463275,0.209605552464966,0.5827371393690679,979.8611,1369.842,6672.0895,106.7567,59.19033,32.63358,237.37200000000007,36.54909,161.4502,170.6772,0.8133059,19.41862,0.1842671428872749
2434,12772.0,11.01780083936112,1158.215,60.85738399999999,52.43820389749743,8.419180102502558,0.2034207811157687,0.5818757772739398,1000.571,1393.82,6719.433,105.9965,49.61813,32.31978,235.60500000000002,36.42705,160.0952,162.7742,0.8133059,19.469379999999997,0.1848892514907154
2435,13058.0,11.576107722162778,1127.013,58.3880214,50.46257059176726,7.925450808232739,0.20331797414936656,0.5615997468948865,1057.652,1356.155,6801.9365,105.1868,27.201940000000004,32.01208,229.14200000000005,36.735170000000004,146.8071,149.6265,0.8113222,19.40745,0.1123270276321373
2436,13093.0,12.046740580576898,1085.85,57.6649596,49.409041087606575,8.255918512393428,0.2154938527420916,0.5524206628073569,1068.357,1319.844,6842.462,103.9127,22.30811,32.36188,233.99400000000014,36.9793,164.1639,164.2253,0.8133059,19.35334,0.208030674932547
2437,13058.0,12.164346299134113,1072.465,58.3998324,49.162597000417904,9.237235399582097,0.23326821854326274,0.5473038817101921,1093.004,1322.6370000000002,6827.0595,103.9695,23.46086,32.73688,250.17200000000025,37.21725,169.9886,174.2835,0.8133059,18.800629999999998,0.2294457019740824
2438,13081.0,12.254862925596747,1066.413,58.071791399999995,48.5857164341588,9.486074965841198,0.23924502045642732,0.5328846481856558,1157.44,1321.547,6814.982,104.1608,24.40251,32.89907,255.13400000000001,37.11278,165.4035,185.7095,0.8133059,18.42175,0.19063914339331056
2439,12565.0,11.085965864224491,1132.415,56.9002672,47.74384943195701,9.156417768042992,0.23182490518052143,0.5387791755340721,1193.133,1394.9370000000001,6678.6335,105.214,40.12577,33.32866,262.52200000000016,36.80125,215.5496,204.9263,0.8113222,17.40314,0.41746520578373786
2440,12248.0,10.105610561056105,1211.0,56.624423199999995,48.582778826186626,8.04164437381337,0.20548307184145329,0.5659544938222786,1118.59,1459.84,6655.4665,106.8071,52.55901,32.91398,248.83999999999992,36.20943,183.8352,179.3161,0.8133059,17.48911,0.3002251331587068
2441,13042.0,10.600330478022725,1229.339,57.9216774,48.51632136323749,9.405356036762512,0.23372234997832156,0.5894765357973771,1055.235,1516.6629999999998,6940.1785,102.5678,12.94081,32.94117,287.32399999999984,36.48275,190.8373,194.1738,0.8133059,17.6801,0.3133136396362434
2442,13011.0,12.38284313352266,1049.728,59.046059199999995,45.949342129907556,13.096717070092438,0.30721767924643323,0.5584680438887804,1083.897,1372.223,6931.93,101.9709,19.621270000000003,33.93577,322.4949999999999,37.21172,297.1096,248.5046,0.8133059,16.41597,0.6724607914702585
2443,12976.0,11.455206751650834,1131.76,58.017105199999996,48.301835260764825,9.71526993923517,0.23811938926980977,0.5506102178032944,1142.657,1401.254,6877.7695,104.4263,19.78425,32.74265,269.4939999999999,37.01336,200.5933,185.9168,0.8133059,17.21711,0.3797037169314446
