Time;FEEDER #1 P80;FEEDER #2 P80;FEEDER #3 P80;NEW FEED BELT SCALE;NEW FEED P80;PEBBLE PRODUCT F80;SAG MILL FEED DENSITY;SM. PROC WATER FLOW;SM Total Feed Rate (Tonnage);Motor 1 Torque Real;Mill Power;SM Main Bearing FE (RHS) Pressure;SM Main Bearing DE (RHS) Pressure;Mill Speed Actual;SAG Mill Motors;SAG % Critical Speed;SAG Microphone #1;SAG PMD % Sound;CV2 Camera Pebbles;SM Scrn/Disch PB Wtr Flow;SAG SCRN MOT CUR;PEB CRUSHER POWER;PEB CV #1 BELT SCALE;PEBBLE CRUSHER GAP;PEB CV #6 WEIGHTOMETER
20-03-2019 05:39;2.250012;1.967143;2.49886;1708.331;2.12337;24.57787;62;1136.655;2001.591;91.43667;12590;7305.864;6560.437;10.48;104;78.68384;106.0792;50.23446;40.25548;375;34.30149;228.7755;250.0221;17.98401;0.7413977
20-03-2019 05:39;2.246689;1.973747;2.498414;1705.116;2.126194;24.63132;62;1102.698;1981.933;91.47;12587.5;7298.43;6527.262;10.49667;104;78.73389;105.6893;50.51125;40.25548;375;34.21296;227.0359;247.0797;17.98401;0.7405712
20-03-2019 05:39;2.24754;1.970792;2.500907;1704.616;2.125251;24.64647;62;1048.274;1998.505;91.18999;12556.67;7325.503;6471.922;10.48667;104;78.74015;106.0662;50.34908;40.25548;375;34.27533;228.3299;246.4548;17.98401;0.7571018
20-03-2019 05:39;2.237708;1.979886;2.488133;1713.39;2.12631;24.80794;62;1057.832;1997.333;91.44667;12596.67;7357.346;6543.744;10.4875;104;78.77393;106.5573;50.86538;40.23483;375;34.29533;240.8743;248.9162;17.98401;0.7498283
20-03-2019 05:40;2.229957;1.986728;2.490211;1739.151;2.126991;24.85128;62;1102.21;1989.441;91.4075;12592.5;7319.261;6502.748;10.48333;104;78.70887;106.2013;50.20835;40.23483;375;34.39711;233.4996;249.4072;17.98401;0.7471834
20-03-2019 05:40;2.235013;1.980377;2.49098;1716.319;2.127095;24.88969;62;1139.381;1982.986;91.14;12566.67;7299.833;6569.274;10.4825;104;78.73389;106.9408;49.568;40.23483;375;34.38023;229.0318;244.2166;17.98401;0.7571018
20-03-2019 05:40;2.250401;1.970115;2.491039;1703.487;2.124887;24.97954;62;1131.838;1990.57;91.38;12605;7286.646;6481.602;10.48333;104;78.79646;105.6367;49.96624;40.23483;375;34.38023;232.6985;245.0695;17.98401;0.7537957
20-03-2019 05:40;2.24872;1.975685;2.488204;1733.471;2.134511;25.18003;62;1115.516;1992.378;91.29667;12583.33;7321.996;6547.251;10.49;104;78.60876;106.3884;51.55431;40.26117;375;34.34069;240.9216;242.318;17.98401;0.7471834
20-03-2019 05:40;2.262692;2.000054;2.504616;1714.488;2.146995;25.18516;62;1086.015;1995.758;91.3075;12620;7331.991;6509.902;10.485;104;78.68384;105.9622;52.74442;40.28751;375;34.35294;242.7161;242.0412;17.98401;0.7438773
20-03-2019 05:40;2.268029;2.017008;2.508753;1714.752;2.153435;25.1433;62;1081.834;1996.75;91.66666;12623.33;7308.249;6538.414;10.4925;104;78.74015;106.3638;52.43072;40.28751;375;34.44777;240.7507;244.3852;17.98401;0.7463569
20-03-2019 05:41;2.286316;2.013939;2.504833;1725.948;2.161797;25.11151;62;1107.541;2026.001;91.45333;12630;7292.959;6515.548;10.484;104;78.68384;107.0812;51.3163;40.28751;375;34.39475;244.921;246.7714;17.98401;0.7463569
20-03-2019 05:41;2.268887;1.982598;2.497036;1707.073;2.140263;25.21977;62;1165.24;2001.099;91.195;12557.5;7286.436;6525.157;10.495;104;78.834;106.5848;50.48308;40.28751;375;34.57655;244.3458;248.0682;17.98401;0.7736324
20-03-2019 05:41;2.23806;1.983775;2.487274;1677.272;2.129248;25.32528;62;1171.425;1991.409;91.18333;12580;7357.486;6552.301;10.49333;104;78.68384;106.2481;50.54023;40.28751;375;34.65073;246.0609;251.2454;17.98401;0.7587548
20-03-2019 05:41;2.217591;2.000269;2.483319;1705.681;2.130729;25.34679;62;1125.811;2023.087;91.03333;12560;7339.671;6486.932;10.48333;104;78.77769;105.5314;51.66132;40.1413;375;34.6349;243.9734;247.9161;17.98401;0.7537957
20-03-2019 05:41;2.217718;2.015771;2.481426;1709.59;2.137154;25.46547;62;1099.769;2005.379;91.5;12600;7298.57;6529.856;10.48667;104;78.73389;106.6743;50.50153;40.0148;375;34.62484;238.8952;244.9662;17.98401;0.7736324
20-03-2019 05:41;2.221396;2.030182;2.48666;1699.214;2.147542;25.6008;62;1095.557;2003.845;91.285;12577.5;7300.534;6525.052;10.49;104;78.73389;106.009;48.95488;40.0148;375;34.66683;237.1801;249.2386;17.98401;0.7306528
20-03-2019 05:42;2.228739;2.032804;2.491364;1705.241;2.153013;25.77451;62;1102.678;2014.237;91.12666;12563.33;7295.204;6537.852;10.49;104;78.63379;106.3333;48.7467;40.0148;375;34.5685;234.9035;255.0507;17.98401;0.7471834
20-03-2019 05:42;2.232887;2.030118;2.48667;1701.064;2.151861;25.82222;62;1132.479;1998.478;90.95;12546.67;7342.897;6476.131;10.485;104;78.70261;105.9856;49.67579;40.0148;375;34.57453;246.8391;257.0394;17.98401;0.7488365
20-03-2019 05:42;2.232187;2.011221;2.495303;1715.648;2.141974;25.74908;62;1160.825;1985.58;90.845;12517.5;7346.194;6516.951;10.49667;104;78.68384;106.0843;50.14005;39.92842;375;34.65703;235.6054;250.6371;17.98401;0.7587548
20-03-2019 05:42;2.231364;1.985652;2.492685;1679.545;2.133955;25.71486;62;1146.115;2002.014;91.42;12596.67;7310.353;6522.983;10.48;104;78.834;106.8472;47.79771;39.88524;375;34.58057;240.7507;250.852;17.98401;0.7571018
20-03-2019 05:42;2.233401;1.977015;2.491802;1715.984;2.123319;25.66901;62;1113.176;2000.687;91.44334;12600;7291.276;6562.401;10.486;104;78.70261;106.508;48.1394;39.88524;375;34.52624;248.043;247.9922;17.98401;0.7471834
20-03-2019 05:42;2.249514;1.971361;2.490048;1716.651;2.125196;25.55635;62;1082.74;1993.534;91.5;12580;7285.104;6475.569;10.4875;104;78.68384;106.8472;47.69682;39.88524;375;34.50089;243.1678;250.2974;17.98401;0.7537957
20-03-2019 05:43;2.272465;1.954588;2.485883;1710.231;2.122661;25.49499;62;1089.372;2000.534;91.195;12557.5;7329.992;6508.85;10.495;104;78.6463;105.3213;48.7403;39.88524;375;34.5363;242.0142;247.3673;17.98401;0.7587548
20-03-2019 05:43;2.26138;1.951906;2.466935;1698.695;2.114807;25.52353;62;1130.856;1990.219;91.33;12536.67;7306.426;6533.925;10.47667;104;78.75892;106.8902;49.36853;39.88524;375;34.5363;245.3345;250.8206;17.98401;0.7736324
20-03-2019 05:43;2.256857;1.958561;2.461805;1705.173;2.116295;25.56764;62;1160.784;2010.918;91.22333;12570;7309.372;6550.617;10.48;104;78.72137;106.4871;50.1285;39.69371;375;34.5685;248.2902;249.7742;17.98401;0.7413977
20-03-2019 05:43;2.232401;1.964713;2.466068;1702.229;2.115885;25.75867;62;1140.398;1975.601;91.405;12605;7292.959;6539.255;10.49333;104;78.70887;106.2247;50.21745;39.69371;375;34.53831;245.359;247.764;17.98401;0.7703263
20-03-2019 05:43;2.241458;1.985521;2.470524;1718.425;2.121496;25.86318;62;1128.333;2004.547;91.46333;12623.33;7314.562;6475.71;10.475;104;78.834;105.2979;49.919;39.71374;375;34.45582;251.7617;245.83;17.98401;0.7736324
20-03-2019 05:43;2.269896;2.009637;2.472153;1751.156;2.139119;25.8346;62;1091.386;2018.097;90.93667;12536.67;7341.635;6537.852;10.48333;104;78.65881;106.1883;50.52214;39.72375;375;34.5524;247.6402;245.3737;17.98401;0.7537957
